category,description,full_price,name_of_item,number_of_reviews,rating,sale_price,type_color_available,url
new arrival,splash 15 pack,39.95,exped,32,4.5,,"burgundy, navy, moraine, cyan, cypress, gold, sage, expand color swatches",https://www.rei.com/product/202678/exped-splash-15-pack
new arrival,bird curved trucker hat,55.0,arc'teryx,9,3.8,,,https://www.rei.com/product/228150/arcteryx-bird-curved-trucker-hat
top rated,pro cooler - 23 liters,134.95,icemule,299,4.8,,"realtree wav3, gray",https://www.rei.com/product/896375/icemule-pro-cooler-23-liters
top rated,active pursuits tank top - women's,24.95,rei co-op,6,4.5,,"black, alloy gray heather, saragasso sea",https://www.rei.com/product/228417/rei-co-op-active-pursuits-tank-top-womens
new arrival,hot laps 5 l bike hydration waist pack - 2 liters,100.0,dakine,9,4.3,59.93,"black, griffin tree line, naval academy, vintage camo, deep lake, expand color swatches",https://www.rei.com/product/185711/dakine-hot-laps-5-l-bike-hydration-waist-pack-2-liters
new arrival,summer light sun hoodie - men's,80.0,the north face,,,,"white dune/gravel, khaki stone/vivid flame",https://www.rei.com/product/229485/the-north-face-summer-light-sun-hoodie-mens
new arrival,magware magnetic bowls and plates - 8-piece set,119.95,full windsor,,,,,https://www.rei.com/product/233287/full-windsor-magware-magnetic-bowls-and-plates-8-piece-set
new arrival,"cruise board shorts - men's 18.5"" outseam",74.0,vuori,44,4.4,58.93,"clove wave stripe, bronze micro dot, port flux, marble jungle, kashmir colorblock, kashmir contigo, sagebrush wave stripe, black, neptune micro dot, expand color swatches",https://www.rei.com/product/113111/vuori-cruise-board-shorts-mens-185-outseam
new arrival,lutry suede clogs - women's,150.0,birkenstock,,,,"lutry grey taupe, lutry elemental blue, lutry black",https://www.rei.com/product/229572/birkenstock-lutry-suede-clogs-womens
new arrival,collapsible water bottle - 25 fl. oz.,31.95,hydaway,4,5.0,,"twilight, midnight, seaside",https://www.rei.com/product/234347/hydaway-collapsible-water-bottle-25-fl-oz
new arrival,original chair,59.95,crazy creek,35,4.3,,"green, black w/blue text, purple/teal",https://www.rei.com/product/199537/crazy-creek-original-chair
new arrival,aerios shade hat,70.0,arc'teryx,,,,"black, velocity",https://www.rei.com/product/228149/arcteryx-aerios-shade-hat
just for members,"beach sup-yak inflatable stand up paddle board with paddle - 10'6""",699.95,tahe,,,,,https://www.rei.com/product/232993/tahe-beach-sup-yak-inflatable-stand-up-paddle-board-with-paddle-106
top rated,rollr 45 wheeled cooler,349.0,rovr products,62,4.6,,"sand, glacier, bluebird",https://www.rei.com/product/220499/rovr-products-rollr-45-wheeled-cooler
new arrival,edge mountain bike pants - men's,85.0,zoic,,,,"black, brown, shadow",https://www.rei.com/product/231980/zoic-edge-mountain-bike-pants-mens
new arrival,daily crop tank top - women's,68.0,vuori,,,,"white, black, isle blue",https://www.rei.com/product/228274/vuori-daily-crop-tank-top-womens
top rated,capilene cool daily graphic t-shirt - men's,55.0,patagonia,11,4.9,,"boardshort logo/blue/grey, boardshort logo/surfbrd yellow, summit swell/pumice x-dye, boardshort logo/green, reef the rigs/steam blue x-dye, boardshort logo/chilled blue, expand color swatches",https://www.rei.com/product/216810/patagonia-capilene-cool-daily-graphic-t-shirt-mens
new arrival,capilene silkweight hoodie - kids',49.0,patagonia,1,5.0,,"coho coral, new navy, lago blue",https://www.rei.com/product/216735/patagonia-capilene-silkweight-hoodie-kids
new arrival,"essential 4"" shorts - women's",70.0,on,,,,"black, navy, cobble",https://www.rei.com/product/229372/on-essential-4-shorts-womens
new arrival,hm61r v2.0 rechargeable headlamp,89.95,fenix,1,5.0,,,https://www.rei.com/product/237862/fenix-hm61r-v20-rechargeable-headlamp
new arrival,targhee iv vent hiking shoes - men's,145.0,keen,,,,,https://www.rei.com/product/229855/keen-targhee-iv-vent-hiking-shoes-mens
new arrival,stride leggings - women's,89.0,vuori,11,4.0,,"black, iron, pomelo",https://www.rei.com/product/193117/vuori-stride-leggings-womens
new arrival,geopress titanium water filter and purifier bottle - 24 fl. oz.,199.95,grayl,1,5.0,,"olive drab, covert black",https://www.rei.com/product/232187/grayl-geopress-titanium-water-filter-and-purifier-bottle-24-fl-oz
new arrival,cloud play road-running shoes - kids',100.0,on,14,4.0,,"mustard/white, midnight/white, zephyr/white, mint/acai, glacier/white, expand color swatches",https://www.rei.com/product/216335/on-cloud-play-road-running-shoes-kids
new arrival,pfg cropped solar stream hoodie - women's,50.0,columbia,,,,"cirrus grey, white, icy mourn, collegiate navy, bright lavender, tiki pink, expand color swatches",https://www.rei.com/product/230086/columbia-pfg-cropped-solar-stream-hoodie-womens
new arrival,viibe crisscross slides - women's,120.0,sorel,1,5.0,,"safari/honest white, honest beige/chalk, red glo/gum",https://www.rei.com/product/229406/sorel-viibe-crisscross-slides-womens
new arrival,water vista higher sandals - women's,70.0,reef,1,5.0,,"black/tan, sand/lime",https://www.rei.com/product/232794/reef-water-vista-higher-sandals-womens
new arrival,moon bag large,49.0,got bag,,,,"black, bass, soft shell",https://www.rei.com/product/234332/got-bag-moon-bag-large
top rated,collapsible water bottle - 17 fl. oz.,27.95,hydaway,6,5.0,,"twilight, midnight, seaside",https://www.rei.com/product/234346/hydaway-collapsible-water-bottle-17-fl-oz
new arrival,baby baggies shorts - toddlers',39.0,patagonia,4,4.8,,"lagom blue, wavy blue, anacapa/forge grey, little isla/milled yellow, expand color swatches",https://www.rei.com/product/144565/patagonia-baby-baggies-shorts-toddlers
new arrival,stride bra,64.0,vuori,,,,"black, iron, pomelo",https://www.rei.com/product/221509/vuori-stride-bra
new arrival,venturi suede shoes - women's,190.0,veja,,,,"full sahara suede, natural white suede",https://www.rei.com/product/230980/veja-venturi-suede-shoes-womens
new arrival,"hydropeak board shorts - men's 21"" outseam",75.0,patagonia,10,4.3,,"clouds/utility blue, tidepool blue, ink black, high hopes geo/forge grey, expand color swatches",https://www.rei.com/product/200878/patagonia-hydropeak-board-shorts-mens-21-outseam
top rated,stretch planing micro board shorts - women's,59.0,patagonia,23,4.7,,"ink black, kishu orange",https://www.rei.com/product/111414/patagonia-stretch-planing-micro-board-shorts-womens
