category,description,full_price,name_of_item,number_of_reviews,rating,sale_price,type_color_available,url
New arrival,Edge Mountain Bike Pants - Men's,$85.00,Zoic,,,,"Black, Brown, Shadow",/product/231980/zoic-edge-mountain-bike-pants-mens
New arrival,Daily Crop Tank Top - Women's,$68.00,Vuori,,,,"White, Black, Isle blue",/product/228274/vuori-daily-crop-tank-top-womens
Top Rated,Capilene Cool Daily Graphic T-Shirt - Men's,$55.00,Patagonia,11,4.9,,"Boardshort logo/blue/grey, Boardshort logo/surfbrd yellow, Summit swell/pumice x-dye, Boardshort logo/green, Reef the rigs/steam blue x-dye, Boardshort logo/chilled blue, Expand color swatches",/product/216810/patagonia-capilene-cool-daily-graphic-t-shirt-mens
New arrival,Capilene Silkweight Hoodie - Kids',$49.00,Patagonia,1,5.0,,"Coho coral, New navy, Lago blue",/product/216735/patagonia-capilene-silkweight-hoodie-kids
New arrival,"Essential 4"" Shorts - Women's",$70.00,On,,,,"Black, Navy, Cobble",/product/229372/on-essential-4-shorts-womens
New arrival,HM61R V2.0 Rechargeable Headlamp,$89.95,Fenix,1,5.0,,,/product/237862/fenix-hm61r-v20-rechargeable-headlamp
New arrival,Targhee IV Vent Hiking Shoes - Men's,$145.00,KEEN,,,,,/product/229855/keen-targhee-iv-vent-hiking-shoes-mens
New arrival,Stride Leggings - Women's,$89.00,Vuori,11,4.0,,"Black, Iron, Pomelo",/product/193117/vuori-stride-leggings-womens
New arrival,Geopress Titanium Water Filter and Purifier Bottle - 24 fl. oz.,$199.95,Grayl,11,4.8,,"Olive drab, Covert black",/product/232187/grayl-geopress-titanium-water-filter-and-purifier-bottle-24-fl-oz
New arrival,Cloud Play Road-Running Shoes - Kids',$100.00,On,14,4.0,,"Mustard/white, Midnight/white, Zephyr/white, Mint/acai, Glacier/white, Expand color swatches",/product/216335/on-cloud-play-road-running-shoes-kids
New arrival,PFG Cropped Solar Stream Hoodie - Women's,$50.00,Columbia,,,,"Cirrus grey, White, Icy mourn, Collegiate navy, Bright lavender, Tiki pink, Expand color swatches",/product/230086/columbia-pfg-cropped-solar-stream-hoodie-womens
New arrival,Viibe Crisscross Slides - Women's,$120.00,Sorel,1,5.0,,"Safari/honest white, Honest beige/chalk, Red glo/gum",/product/229406/sorel-viibe-crisscross-slides-womens
New arrival,Water Vista Higher Sandals - Women's,$70.00,Reef,1,5.0,,"Black/tan, Sand/lime",/product/232794/reef-water-vista-higher-sandals-womens
New arrival,Moon Bag Large,$49.00,GOT BAG,,,,"Black, Bass, Soft shell",/product/234332/got-bag-moon-bag-large
Top Rated,Collapsible Water Bottle - 17 fl. oz.,$27.95,Hydaway,6,5.0,,"Twilight, Midnight, Seaside",/product/234346/hydaway-collapsible-water-bottle-17-fl-oz
